date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:55	250197/250197	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Mar%202022%2001:43:16%20GMT	https://katsudoto.id/media/public/70/9789/gallery/thumb_lg_55378_1646185395_1400_1400.jpg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/public/70/9789/gallery/thumb_lg_55378_1646185395_1400_1400.jpg	(from https://raisari.katsudoto.id/181252)
23:50:55	298360/298360	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Mar%202022%2002:15:00%20GMT	https://katsudoto.id/media/public/70/9789/story/thumb_lg_55400_1646187299_1400_1400.jpg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/public/70/9789/story/thumb_lg_55400_1646187299_1400_1400.jpg	(from https://raisari.katsudoto.id/181252)
23:50:55	456848/456848	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Mar%202022%2001:43:13%20GMT	https://katsudoto.id/media/public/70/9789/gallery/thumb_lg_55377_1646185392_1400_1400.jpg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/public/70/9789/gallery/thumb_lg_55377_1646185392_1400_1400.jpg	(from https://raisari.katsudoto.id/181252)
23:50:57	281795/281795	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Mar%202022%2001:43:18%20GMT	https://katsudoto.id/media/public/70/9789/gallery/thumb_lg_55379_1646185397_1400_1400.jpg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/public/70/9789/gallery/thumb_lg_55379_1646185397_1400_1400.jpg	(from https://raisari.katsudoto.id/181252)
23:50:58	176474/176474	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Mar%202022%2001:43:22%20GMT	https://katsudoto.id/media/public/70/9789/gallery/thumb_lg_55380_1646185400_1400_1400.jpg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/public/70/9789/gallery/thumb_lg_55380_1646185400_1400_1400.jpg	(from https://raisari.katsudoto.id/181252)
23:51:00	8212/8212	---M--	200	added ('OK')	image/jpeg	etag:%220%22	http://img.youtube.com/vi/4efVf1pta0c/hqdefault.jpg	C:/My%20Web%20Sites/wed1/img.youtube.com/vi/4efVf1pta0c/hqdefault.jpg	(from https://raisari.katsudoto.id/181252)
23:51:00	246466/246466	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Mar%202022%2001:43:25%20GMT	https://katsudoto.id/media/public/70/9789/gallery/thumb_lg_55381_1646185404_1400_1400.jpg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/public/70/9789/gallery/thumb_lg_55381_1646185404_1400_1400.jpg	(from https://raisari.katsudoto.id/181252)
23:51:00	298360/298360	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Mar%202022%2001:43:29%20GMT	https://katsudoto.id/media/public/70/9789/gallery/thumb_lg_55382_1646185407_1400_1400.jpg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/public/70/9789/gallery/thumb_lg_55382_1646185407_1400_1400.jpg	(from https://raisari.katsudoto.id/181252)
23:51:00	315159/315159	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Mar%202022%2002:13:49%20GMT	https://katsudoto.id/media/public/70/9789/story/thumb_lg_55399_1646187228_1400_1400.jpg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/public/70/9789/story/thumb_lg_55399_1646187228_1400_1400.jpg	(from https://raisari.katsudoto.id/181252)
23:51:02	186507/186507	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Aug%202021%2010:44:19%20GMT	https://katsudoto.id/media/template/protocol/03/memakai-handsanitizer.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/protocol/03/memakai-handsanitizer.png	(from https://raisari.katsudoto.id/181252)
23:51:02	178346/178346	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Aug%202021%2010:44:21%20GMT	https://katsudoto.id/media/template/protocol/03/menghindari-kerumunan.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/protocol/03/menghindari-kerumunan.png	(from https://raisari.katsudoto.id/181252)
23:51:02	167566/167566	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Aug%202021%2010:44:18%20GMT	https://katsudoto.id/media/template/protocol/03/memakai-masker.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/protocol/03/memakai-masker.png	(from https://raisari.katsudoto.id/181252)
23:51:10	37006/37006	---M--	200	added ('OK')	image/jpeg	etag:%221614638064%22	http://img.youtube.com/vi/OObOQ2GElhA/hqdefault.jpg	C:/My%20Web%20Sites/wed1/img.youtube.com/vi/OObOQ2GElhA/hqdefault.jpg	(from https://raisari.katsudoto.id/181252)
23:51:10	169953/169953	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Aug%202021%2010:44:18%20GMT	https://katsudoto.id/media/template/protocol/03/menjaga-jarak.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/protocol/03/menjaga-jarak.png	(from https://raisari.katsudoto.id/181252)
23:51:10	204262/204262	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Mar%202022%2002:25:53%20GMT	https://katsudoto.id/media/public/70/9789/qr/e-invitation-181252-1646187953.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/public/70/9789/qr/e-invitation-181252-1646187953.png	(from https://raisari.katsudoto.id/181252)
23:51:11	743387/743387	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Aug%202021%2010:44:20%20GMT	https://katsudoto.id/media/template/protocol/03/mengurangi-interaksi.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/protocol/03/mengurangi-interaksi.png	(from https://raisari.katsudoto.id/181252)
23:51:11	312762/312762	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Oct%202022%2010:51:34%20GMT	https://katsudoto.id/media/public/70/9789/filter/thumb_lg_107405_1600_1600.jpeg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/public/70/9789/filter/thumb_lg_107405_1600_1600.jpg	(from https://raisari.katsudoto.id/181252)
23:51:11	7002/7002	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Mar%202022%2001:48:35%20GMT	https://katsudoto.id/media/public/70/9789/book/thumb_md_55388_1646185715_300_300.jpeg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/public/70/9789/book/thumb_md_55388_1646185715_300_300.jpg	(from https://raisari.katsudoto.id/181252)
23:51:11	14243/14243	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2012%20May%202021%2013:04:54%20GMT	https://katsudoto.id/plugin/aos/dist/aos.js	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/aos/dist/aos.js	(from https://raisari.katsudoto.id/181252)
23:51:12	42863/42863	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2012%20May%202021%2013:04:48%20GMT	https://katsudoto.id/plugin/slick/slick.min.js	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/slick/slick.min.js	(from https://raisari.katsudoto.id/181252)
23:51:12	62483/62483	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2012%20May%202021%2013:36:21%20GMT	https://katsudoto.id/plugin/selectize/dist/js/standalone/selectize.min.js	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/selectize/dist/js/standalone/selectize.min.js	(from https://raisari.katsudoto.id/181252)
23:51:12	7451/7451	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2012%20May%202021%2013:08:39%20GMT	https://katsudoto.id/plugin/modal-video/js/jquery-modal-video.min.js	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/modal-video/js/jquery-modal-video.min.js	(from https://raisari.katsudoto.id/181252)
23:51:12	25449/25449	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20May%202021%2012:16:51%20GMT	https://katsudoto.id/plugin/lightgallery/dist/js/lightgallery.min.js	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/lightgallery/dist/js/lightgallery.min.js	(from https://raisari.katsudoto.id/181252)
23:51:13	19802/19802	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2026%20Aug%202022%2011:45:36%20GMT	https://katsudoto.id/src/universal.js?1666284641	C:/My%20Web%20Sites/wed1/katsudoto.id/src/universal1293.js	(from https://raisari.katsudoto.id/181252)
23:51:14	58975/58975	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Oct%202022%2003:16:52%20GMT	https://katsudoto.id/src/template/template.js?1666284641	C:/My%20Web%20Sites/wed1/katsudoto.id/src/template/template1293.js	(from https://raisari.katsudoto.id/181252)
23:51:15	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634571bd-302c%22	https://raisari.katsudoto.id/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/wed1/raisari.katsudoto.id/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://raisari.katsudoto.id/181252)
23:51:16	149012/149012	---MCZ	200	added ('OK')	text/css	date:Thu,%2013%20Oct%202022%2004:35:46%20GMT	https://katsudoto.id/src/universal.css?1666284645	C:/My%20Web%20Sites/wed1/katsudoto.id/src/universal039d.css	(from https://raisari.katsudoto.id/)
23:51:17	68002/68002	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Oct%202022%2003:16:52%20GMT	https://katsudoto.id/src/template/global.css?1666284645	C:/My%20Web%20Sites/wed1/katsudoto.id/src/template/global039d.css	(from https://raisari.katsudoto.id/)
23:51:18	58763/58763	---MCZ	200	added ('OK')	text/css	date:Thu,%2020%20Oct%202022%2003:54:30%20GMT	https://katsudoto.id/src/template/exclusive-10.css?1666284645	C:/My%20Web%20Sites/wed1/katsudoto.id/src/template/exclusive-10039d.css	(from https://raisari.katsudoto.id/)
23:51:19	19802/19802	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2026%20Aug%202022%2011:45:36%20GMT	https://katsudoto.id/src/universal.js?1666284645	C:/My%20Web%20Sites/wed1/katsudoto.id/src/universal039d.js	(from https://raisari.katsudoto.id/)
23:51:20	58975/58975	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Oct%202022%2003:16:52%20GMT	https://katsudoto.id/src/template/template.js?1666284645	C:/My%20Web%20Sites/wed1/katsudoto.id/src/template/template039d.js	(from https://raisari.katsudoto.id/)
23:51:21	1482/1482	---M--	200	added ('OK')	image/png	date:Mon,%2024%20May%202021%2012:16:48%20GMT	https://katsudoto.id/plugin/lightgallery/dist/img/vimeo-play.png	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/lightgallery/dist/img/vimeo-play.png	(from https://katsudoto.id/plugin/lightgallery/dist/css/lightgallery.css)
23:51:21	819/819	---M--	200	added ('OK')	image/png	date:Mon,%2024%20May%202021%2012:16:48%20GMT	https://katsudoto.id/plugin/lightgallery/dist/img/video-play.png	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/lightgallery/dist/img/video-play.png	(from https://katsudoto.id/plugin/lightgallery/dist/css/lightgallery.css)
23:51:22	2703/2703	---M--	200	added ('OK')	image/png	date:Mon,%2024%20May%202021%2012:16:48%20GMT	https://katsudoto.id/plugin/lightgallery/dist/img/youtube-play.png	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/lightgallery/dist/img/youtube-play.png	(from https://katsudoto.id/plugin/lightgallery/dist/css/lightgallery.css)
23:51:22	3801/3801	---M--	200	added ('OK')	image/gif	date:Mon,%2024%20May%202021%2012:16:48%20GMT	https://katsudoto.id/plugin/lightgallery/dist/img/loading.gif	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/lightgallery/dist/img/loading.gif	(from https://katsudoto.id/plugin/lightgallery/dist/css/lightgallery.css)
23:51:22	14650/14650	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Mar%202022%2010:52:45%20GMT	https://katsudoto.id/media/kat/bg-wa-box-fix.jpg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/kat/bg-wa-box-fix.jpg	(from https://katsudoto.id/src/universal.css?1666284641)
23:51:23	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/gold/01.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/gold/01.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:23	468262/468262	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Aug%202022%2006:37:54%20GMT	https://katsudoto.id/media/kontak/inner-background.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/kontak/inner-background.png	(from https://katsudoto.id/src/universal.css?1666284641)
23:51:24	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/gold/02.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/gold/02.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:24	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/gold/03.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/gold/03.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:25	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/gold/04.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/gold/04.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:26	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/gold/05.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/gold/05.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:27	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/gray/01.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/gray/01.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:27	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/gray/02.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/gray/02.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:29	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/gray/03.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/gray/03.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:30	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/gray/04.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/gray/04.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:31	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/gray/05.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/gray/05.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:32	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/light/01.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/light/01.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:32	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/light/02.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/light/02.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:35	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/light/03.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/light/03.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:36	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/light/04.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/light/04.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:37	1096/1096	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Aug%202022%2008:44:48%20GMT	https://katsudoto.id/media/template/icon/light/05.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/icon/light/05.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:38	32077/32077	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:35:04%20GMT	https://katsudoto.id/media/template/biasa-01/01/flower-01.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/01/flower-01.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:39	27462/27462	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:35:07%20GMT	https://katsudoto.id/media/template/biasa-01/01/flower-02.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/01/flower-02.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:40	9148/9148	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:35:10%20GMT	https://katsudoto.id/media/template/biasa-01/01/line-01.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/01/line-01.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:40	8902/8902	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:35:14%20GMT	https://katsudoto.id/media/template/biasa-01/01/line-02.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/01/line-02.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:42	6253/6253	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:35:08%20GMT	https://katsudoto.id/media/template/biasa-01/01/line-01-md.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/01/line-01-md.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:42	7554/7554	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:35:12%20GMT	https://katsudoto.id/media/template/biasa-01/01/line-02-md.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/01/line-02-md.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:42	10716/10716	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:35:18%20GMT	https://katsudoto.id/media/template/biasa-01/01/orn-01.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/01/orn-01.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:43	195984/195984	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Aug%202021%2004:57:04%20GMT	https://katsudoto.id/media/template/biasa-01/01/bg-lg-01.jpg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/01/bg-lg-01.jpg	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:44	56356/56356	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Aug%202021%2004:57:03%20GMT	https://katsudoto.id/media/template/biasa-01/01/bg-sm-01.jpg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/01/bg-sm-01.jpg	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:44	31983/31983	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:35:38%20GMT	https://katsudoto.id/media/template/biasa-01/02/flower-01.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/02/flower-01.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:44	27532/27532	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:35:40%20GMT	https://katsudoto.id/media/template/biasa-01/02/flower-02.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/02/flower-02.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:44	221943/221943	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Aug%202021%2004:57:04%20GMT	https://katsudoto.id/media/template/biasa-01/01/bg-md-01.jpg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/01/bg-md-01.jpg	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:44	9305/9305	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:35:43%20GMT	https://katsudoto.id/media/template/biasa-01/02/line-01.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/02/line-01.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:45	9746/9746	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:35:46%20GMT	https://katsudoto.id/media/template/biasa-01/02/line-02.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/02/line-02.png	(from https://katsudoto.id/src/template/global.css?1666284641)
23:51:45	6332/6332	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:35:41%20GMT	https://katsudoto.id/media/template/biasa-01/02/line-01-md.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/template/biasa-01/02/line-01-md.png	(from https://katsudoto.id/src/template/global.css?1666284641)
